eventID, title, description, imageURL, genre, duration
1, "The Matrix", "A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.", "https://upload.wikimedia.org/wikipedia/en/c/c1/The_Matrix_Poster.jpg", "Action", "2 hours 30 minutes"
2, "Marx in Soho", "Marx in Soho is a play on the life of Karl Marx, written by Howard Zinn. The play revolves around Marx's return to Earth, where he confronts the consequences of his ideas.", "https://www.politeianet.gr/components/com_virtuemart/shop_image/product/09a9f8c8-3d4e-484f-aea5-62e2214955b5.jpg", "Drama", "136 minutes"
3, "The Eras Tour", "The Eras Tour is a concert tour by Taylor Swift. It began on May 20, 2022, in Perth, Australia, and is set to conclude on October 22, 2022, in Auckland, New Zealand.", "https://www.movieposters.com/cdn/shop/files/scan004_6f77ec60-fb85-495f-9a70-719695e027fa_480x.progressive.jpg?v=1697205691", "Pop Country Folk", "2 hours 30 minutes"
4, "12 Angry Men", "The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.", "https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/12_Angry_Men_%281957_film_poster%29.jpg/800px-12_Angry_Men_%281957_film_poster%29.jpg", "Drama", "1 hour 36 minutes"
5, "Hamlet","Hamlet, prince of Denmark, returns home to learn that his father, the king, has died under mysterious circumstances. The ghost of his father appears to Hamlet, revealing that he was murdered by his brother, Claudius, who has since seized the throne and married Hamlet's mother.","https://upload.wikimedia.org/wikipedia/commons/6/6a/Edwin_Booth_Hamlet_1870.jpg","Drama","3 hours"
6, "Coldplay: Music of the Spheres World Tour","Coldplay takes their latest album, Music of the Spheres, on a global tour filled with dazzling visuals, singalong anthems, and a focus on sustainability.","https://upload.wikimedia.org/wikipedia/en/b/bf/Coldplay_-_Music_of_the_Spheres_%28Official_Album_Artwork%29.png","Rock", "2 hours 30 minutes"
7, "The Great Gatsby","A Midwestern war veteran finds himself drawn to the past and lifestyle of his millionaire neighbor.","https://upload.wikimedia.org/wikipedia/en/c/c2/TheGreatGatsby2013Poster.jpg","Drama","2 hours 24 minutes"
8, "A Midsummer Night's Dream","Shakespeare's beloved comedy about four young Athenian lovers and a group of mischievous fairies who entangle them in a web of love and illusion.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/A_Midsummer_Night%27s_Dream_NYSF_2003.jpg/1200px-A_Midsummer_Night%27s_Dream_NYSF_2003.jpg","Comedy", "2 hours 15 minutes"
9, "Carmen","Georges Bizet's passionate opera tells the story of Carmen, a fiery gypsy woman who captivates the heart of Don José, a soldier. Their love is ultimately destructive, leading to tragic consequences.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Prudent-Louis_Leray_-_Poster_for_the_premi%C3%A8re_of_Georges_Bizet%27s_Carmen.jpg/800px-Prudent-Louis_Leray_-_Poster_for_the_premi%C3%A8re_of_Georges_Bizet%27s_Carmen.jpg","Opera", "3 hours 15 minutes"
10, "The Godfather","The Godfather is a 1972 American crime film directed by Francis Ford Coppola, who co-wrote the screenplay with Mario Puzo, based on Puzo's 1969 novel of the same name.","https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg","Crime Drama","2 hours 55 minutes"
11, "Don Camillo","Don Camillo is a theatrical adaptation of the stories by Giovannino Guareschi. The play follows the humorous and heartwarming interactions between a Catholic priest and the upcoming leftist mayor in a small Italian village.","https://www.athinorama.gr/lmnts/events/theatre/10069774/list.jpg","Comedy","2 hours 30 minutes"
12, "The Phantom of the Opera","Andrew Lloyd Webber's iconic musical follows the story of a disfigured musical genius who haunts the Paris Opera House. When he falls in love with a young soprano, he devotes himself to nurturing her talent, but his obsession leads to tragedy.","https://upload.wikimedia.org/wikipedia/en/e/ef/The_Phantom_of_the_Opera_%281986_musical%29.jpg","Musical", "2 hours 30 minutes"
13, "The Shawshank Redemption","The Shawshank Redemption is a 1994 American drama film directed and written by Frank Darabont, based on the 1982 Stephen King novella of the same name.","https://upload.wikimedia.org/wikipedia/en/8/81/ShawshankRedemptionMoviePoster.jpg","Drama","2 hours"
14, "Death of a Salesman","Arthur Miller's Pulitzer Prize-winning drama tells the story of Willy Loman, a failing salesman who grapples with his fading relevance and shattered dreams.","https://upload.wikimedia.org/wikipedia/en/2/20/DeathOfASalesman.jpg","Drama", "2 hours"
15, "The Nutcracker","The Nutcracker is a two-act ballet, originally choreographed by Marius Petipa and Lev Ivanov with a score by Pyotr Ilyich Tchaikovsky. The ballet is based on the story 'The Nutcracker and the Mouse King' by E. T. A. Hoffmann.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Portr%C3%A4t_des_Komponisten_Pjotr_I._Tschaikowski_%281840-1893%29.jpg/800px-Portr%C3%A4t_des_Komponisten_Pjotr_I._Tschaikowski_%281840-1893%29.jpg","Ballet","2 hours 15 minutes" 
