eventID,title,description,imageURL,genre,duration
1,"The Matrix","A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.","/images/events/the_matrix.jpg","Action","2 hours 30 minutes"
2,"Marx in Soho","Marx in Soho is a play on the life of Karl Marx, written by Howard Zinn. The play revolves around Marx's return to Earth, where he confronts the consequences of his ideas.","/images/events/marx_in_soho.jpg","Drama","136 minutes"
3,"The Eras Tour"," The Eras Tour is a concert tour by Taylor Swift. It began on March 17, 2023, in Arizona, USA, and is set to conclude on December 8, 2024, in Vancouver, Canada.","/images/events/the_eras_tour.webp","Pop Country Folk","2 hours 30 minutes"
4,"12 Angry Men","The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.","/images/events/12_angry_men.jpg","Drama","1 hour 36 minutes"
5,"Hamlet","Hamlet, prince of Denmark, returns home to learn that his father, the king, has died under mysterious circumstances. The ghost of his father appears to Hamlet, revealing that he was murdered by his brother, Claudius, who has since seized the throne and married Hamlet's mother.","/images/events/hamlet.jpg","Drama","3 hours"
6,"Coldplay: Music of the Spheres World Tour","Coldplay takes their latest album, Music of the Spheres, on a global tour filled with dazzling visuals, singalong anthems, and a focus on sustainability.","/images/events/coldplay_music_of_the_spheres.jpeg","Rock","2 hours 30 minutes"
7,"The Great Gatsby","A Midwestern war veteran finds himself drawn to the past and lifestyle of his millionaire neighbor.","/images/events/the_great_gatsby.jpg","Drama","2 hours 24 minutes"
8,"A Midsummer Night's Dream","Shakespeare's beloved comedy about four young Athenian lovers and a group of mischievous fairies who entangle them in a web of love and illusion.","/images/events/a_midsummers_night_dream.webp","Comedy","2 hours 15 minutes"
9,"Carmen","Georges Bizet's passionate opera tells the story of Carmen, a fiery gypsy woman who captivates the heart of Don José, a soldier. Their love is ultimately destructive, leading to tragic consequences.","/images/events/carmen.jpg","Opera","3 hours 15 minutes"
10,"The Godfather","The Godfather is a 1972 American crime film directed by Francis Ford Coppola, who co-wrote the screenplay with Mario Puzo, based on Puzo's 1969 novel of the same name.","/images/events/the_godfather.jpg","Crime Drama","2 hours 55 minutes"
11,"Don Camillo","Don Camillo is a theatrical adaptation of the stories by Giovannino Guareschi. The play follows the humorous and heartwarming interactions between a Catholic priest and the upcoming leftist mayor in a small Italian village.","/images/events/don_camillo.jpg","Comedy","2 hours 30 minutes"
12,"The Phantom of the Opera","Andrew Lloyd Webber's iconic musical follows the story of a disfigured musical genius who haunts the Paris Opera House. When he falls in love with a young soprano, he devotes himself to nurturing her talent, but his obsession leads to tragedy.","/images/events/phantom_of_the_opera.jpg","Musical","2 hours 30 minutes"
13,"The Shawshank Redemption","The Shawshank Redemption is a 1994 American drama film directed and written by Frank Darabont, based on the 1982 Stephen King novella of the same name.","/images/events/the_shawshank_redemption.jpg","Drama","2 hours"
14,"Death of a Salesman","Arthur Miller's Pulitzer Prize-winning drama tells the story of Willy Loman, a failing salesman who grapples with his fading relevance and shattered dreams.","/images/events/death_of_a_salesman.jpg","Drama","2 hours"
15,"The Nutcracker","The Nutcracker is a two-act ballet, originally choreographed by Marius Petipa and Lev Ivanov with a score by Pyotr Ilyich Tchaikovsky. The ballet is based on the story 'The Nutcracker and the Mouse King' by E. T. A. Hoffmann.","/images/events/the_nutcracker.webp","Ballet","2 hours 15 minutes"
