showID,eventID,show_date,show_time,status,venueID
1,1,2024-05-01,18:00,COMPLETED,8
2,1,2024-05-02,22:00,COMPLETED,8
3,1,2024-05-03,22:45,COMPLETED,2
4,1,2024-05-04,17:00,COMPLETED,11
5,2,2024-05-22,22:45,SCHEDULED,3
6,2,2024-05-23,21:45,SCHEDULED,10
7,2,2024-05-24,11:30,SCHEDULED,11
8,2,2024-05-25,15:30,CANCELED,1
9,3,2024-05-16,11:30,CANCELED,5
10,3,2024-05-17,17:00,SCHEDULED,2
11,3,2024-05-18,21:00,SCHEDULED,6
12,3,2024-05-19,10:00,SCHEDULED,2
13,4,2024-04-27,22:15,CANCELED,3
14,4,2024-04-28,21:00,CANCELED,10
15,4,2024-04-29,16:00,CANCELED,5
16,4,2024-04-30,22:00,CANCELED,7
17,5,2024-04-21,22:00,CANCELED,3
18,5,2024-04-22,22:15,CANCELED,12
19,5,2024-04-23,22:00,COMPLETED,2
20,5,2024-04-24,18:15,CANCELED,6
21,6,2024-04-30,14:00,COMPLETED,5
22,6,2024-05-01,20:15,CANCELED,6
23,6,2024-05-02,11:30,COMPLETED,6
24,6,2024-05-03,12:15,COMPLETED,7
25,7,2024-05-21,15:00,CANCELED,2
26,7,2024-05-22,20:30,CANCELED,5
27,7,2024-05-23,20:15,CANCELED,6
28,7,2024-05-24,11:30,SCHEDULED,8
29,8,2024-05-01,15:00,CANCELED,5
30,8,2024-05-02,11:45,COMPLETED,2
31,8,2024-05-03,22:00,CANCELED,12
32,8,2024-05-04,17:00,CANCELED,9
33,9,2024-04-06,12:30,CANCELED,7
34,9,2024-04-07,13:00,CANCELED,9
35,9,2024-04-08,12:45,COMPLETED,8
36,9,2024-04-09,16:15,CANCELED,9
37,10,2024-04-05,20:30,CANCELED,12
38,10,2024-04-06,20:00,CANCELED,2
39,10,2024-04-07,11:15,CANCELED,8
40,10,2024-04-08,12:00,COMPLETED,7
41,11,2024-04-29,19:15,COMPLETED,1
42,11,2024-04-30,22:45,COMPLETED,10
43,11,2024-05-01,14:00,COMPLETED,10
44,11,2024-05-02,14:30,COMPLETED,5
45,12,2024-05-18,11:30,CANCELED,11
46,12,2024-05-19,17:45,CANCELED,5
47,12,2024-05-20,20:30,SCHEDULED,5
48,12,2024-05-21,12:00,CANCELED,6
49,13,2024-05-26,13:00,SCHEDULED,6
50,13,2024-05-27,12:15,CANCELED,9
51,13,2024-05-28,11:30,SCHEDULED,7
52,13,2024-05-29,11:45,SCHEDULED,10
53,14,2024-06-14,14:30,CANCELED,1
54,14,2024-06-15,17:15,SCHEDULED,2
55,14,2024-06-16,21:15,CANCELED,6
56,14,2024-06-17,17:00,CANCELED,8
57,15,2024-06-03,16:30,SCHEDULED,11
58,15,2024-06-04,17:00,SCHEDULED,3
59,15,2024-06-05,10:30,SCHEDULED,2
60,15,2024-06-06,20:45,CANCELED,1
